municipality,typology,latitude,longitude,observations,median_asking_price,median_sqm_price
Leksands kommun,HOUSE,60.7489917,15.00471,5,2895000.0,21789.883268482492
Lerums kommun,HOUSE,57.79770781591662,12.3016872,9,5700000.0,32407.40740740741
Lessebo kommun,HOUSE,56.77927340668934,15.156981830290766,10,1287500.0,8339.723019760175
Lidköpings kommun,HOUSE,58.4844782,13.151509970092409,6,1722500.0,13069.281711665819
Lilla Edets kommun,HOUSE,58.1024754,12.152849,7,2800000.0,14500.0
Lindesbergs kommun,HOUSE,59.59432985,15.230432,8,2495000.0,12457.803150147878
Linköpings kommun,HOUSE,58.39429815,15.661985399999999,8,5345000.0,26576.576576576575
Ljungby kommun,HOUSE,56.8325303082,13.9469166,13,1795000.0,10714.285714285714
Ljusdals kommun,HOUSE,61.830104483483204,15.9997854,5,1450000.0,7782.608695652174
Ljusnarsbergs kommun,HOUSE,60.0412941,14.976696,1,450000.0,2616.279069767442
Lomma kommun,HOUSE,55.70104095,13.0423331236,4,6095000.0,41202.59548144163
Ludvika kommun,HOUSE,60.155961221943,15.191968249999999,4,1800000.0,11471.847970725215
Luleå kommun,HOUSE,65.62906991245,22.150129091449998,14,3172500.0,22431.760055800976
Lunds kommun,HOUSE,55.6949577,13.33091294939808,13,4995000.0,29560.81081081081
Lycksele kommun,HOUSE,64.5994673277933,18.6613714,5,900000.0,5681.818181818182
Lysekils kommun,HOUSE,58.40466590176581,11.515638221464265,2,4247500.0,29154.761904761905
Malmö kommun,HOUSE,55.558025,13.0214157,15,5695000.0,31654.929577464787
Malung-Sälens kommun,HOUSE,61.09073955,13.27348925,4,2712500.0,28388.15789473684
Mariestads kommun,HOUSE,58.7901654,13.79616315,4,1742500.0,12183.507083667468
Markaryds kommun,HOUSE,56.578747004,13.74484663485,2,1042500.0,6429.087987143432
Marks kommun,HOUSE,57.4935528841,12.6964674079,21,2495000.0,14092.741935483871
Mjölby kommun,HOUSE,58.34961885139399,15.250066175118892,6,2495000.0,18293.171114599685
Mora kommun,HOUSE,61.00409745,14.577535777131168,6,2572500.0,14321.630204657728
Motala kommun,HOUSE,58.54024339375342,15.05911337451009,9,2395000.0,19736.842105263157
Mullsjö kommun,HOUSE,57.92690157259905,13.882982723838305,6,2662500.0,18987.382629107982
Munkedals kommun,HOUSE,58.53041055,11.665847804326486,4,1325000.0,8565.993472052223
Munkfors kommun,HOUSE,59.80785065,13.515624599999999,2,595000.0,2302.809472870981
Mölndals kommun,HOUSE,57.629427503399995,12.03409247435145,10,6435000.0,44956.21886674969
